ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21616,HX484688,10/27/2014 08:39:00 PM,083XX S KINGSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0423,004,7,46,01A,1194584,1850019,2014,11/03/2014 12:40:32 PM,41.743375383,-87.562605467,"(41.743375383, -87.562605467)"
21614,HX484373,10/27/2014 05:00:00 PM,007XX N TRUMBULL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1121,011,27,23,01A,1153201,1904904,2014,11/03/2014 12:40:32 PM,41.89490424,-87.712783415,"(41.89490424, -87.712783415)"
21613,HX483465,10/26/2014 11:54:00 PM,021XX W 19TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1234,012,25,31,01A,1162293,1890679,2014,11/02/2014 12:37:16 PM,41.855684267,-87.679788732,"(41.855684267, -87.679788732)"
21612,HX482848,10/26/2014 12:38:00 PM,082XX S HOUSTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0424,004,7,46,01A,1197960,1850900,2014,11/02/2014 12:37:16 PM,41.745709272,-87.550206501,"(41.745709272, -87.550206501)"
21611,HX481071,10/25/2014 12:30:00 AM,053XX S HOYNE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,0932,009,16,61,01A,1163237,1868870,2014,11/01/2014 12:39:11 PM,41.795818176,-87.67693539,"(41.795818176, -87.67693539)"
21610,HX480966,10/24/2014 10:04:00 PM,055XX W CORCORAN PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,015,28,25,01A,1139245,1901973,2014,10/31/2014 12:38:05 PM,41.887126756,-87.764112077,"(41.887126756, -87.764112077)"
21609,HX479713,10/24/2014 01:08:00 AM,079XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0612,006,21,71,01A,1167354,1851742,2014,11/10/2014 12:41:06 PM,41.74872948,-87.66232817,"(41.74872948, -87.66232817)"
21608,HX479519,10/23/2014 09:23:00 PM,014XX W 72ND PL,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0734,007,17,67,01A,1168109,1856714,2014,10/30/2014 12:40:48 PM,41.762357131,-87.659418855,"(41.762357131, -87.659418855)"
21606,HX477901,10/22/2014 04:18:00 PM,041XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,true,0813,008,13,65,01A,1150019,1862547,2014,12/11/2014 12:46:30 PM,41.778733617,-87.72557085,"(41.778733617, -87.72557085)"
21605,HX265483,10/21/2014 06:18:00 AM,072XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,008,18,66,01A,1161336,1856558,2014,10/28/2014 12:36:38 PM,41.762071972,-87.684247274,"(41.762071972, -87.684247274)"
21604,HX473265,10/19/2014 01:24:00 AM,053XX W OAKDALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,2514,025,31,19,01A,1140354,1919138,2014,10/26/2014 12:37:49 PM,41.934209204,-87.759617825,"(41.934209204, -87.759617825)"
21603,HX472024,10/18/2014 01:12:00 AM,067XX S THROOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,false,false,0724,007,17,67,01A,1168778,1860110,2014,10/25/2014 12:36:48 PM,41.771661782,-87.656868984,"(41.771661782, -87.656868984)"
21602,HX471999,10/18/2014 01:00:00 AM,093XX S WENTWORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0634,006,21,49,01A,1176634,1843001,2014,10/25/2014 12:36:48 PM,41.724539445,-87.628585274,"(41.724539445, -87.628585274)"
21600,HX470450,10/16/2014 09:40:00 PM,051XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1532,015,28,25,01A,1142070,1901417,2014,10/23/2014 12:39:35 PM,41.885549133,-87.753751524,"(41.885549133, -87.753751524)"
21599,HX469969,10/16/2014 03:10:00 PM,075XX S COLFAX AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,004,7,43,01A,1194791,1855635,2014,10/23/2014 12:39:35 PM,41.758781037,-87.561662468,"(41.758781037, -87.561662468)"
21601,HX467125,10/14/2014 12:15:00 AM,052XX W LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1623,016,45,11,01A,1140613,1931456,2014,10/21/2014 12:38:32 PM,41.968006187,-87.758362295,"(41.968006187, -87.758362295)"
21597,HX465132,10/12/2014 07:27:00 PM,023XX N MELVINA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,2512,025,29,19,01A,1134728,1914880,2014,10/19/2014 12:37:33 PM,41.922626214,-87.78039454,"(41.922626214, -87.78039454)"
21596,HX463147,10/11/2014 01:09:00 AM,044XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,false,false,1113,011,28,26,01A,1146844,1899687,2014,10/18/2014 12:37:02 PM,41.880711997,-87.736264481,"(41.880711997, -87.736264481)"
21595,HX463042,10/11/2014 12:20:00 AM,088XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2222,022,21,71,01A,1170824,1846140,2014,10/18/2014 12:37:02 PM,41.733281864,-87.649775885,"(41.733281864, -87.649775885)"
21594,HX460710,10/09/2014 04:05:00 AM,051XX S HYDE PARK BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,HALLWAY,true,true,0234,002,4,41,01A,1188283,1871230,2014,10/16/2014 12:41:58 PM,41.801732674,-87.585016096,"(41.801732674, -87.585016096)"
21590,HX460570,10/08/2014 11:02:00 PM,007XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,false,false,1132,011,24,26,01A,1150464,1896358,2014,10/31/2014 03:20:56 PM,41.871506971,-87.723058949,"(41.871506971, -87.723058949)"
21593,HX458493,10/08/2014 02:39:00 PM,107XX S WENTWORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0513,005,34,49,01A,1176885,1833960,2014,10/15/2014 12:40:17 PM,41.699724052,-87.627937173,"(41.699724052, -87.627937173)"
21587,HX457560,10/06/2014 05:25:00 PM,0000X E 44TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0215,002,3,38,01A,1177716,1875832,2014,10/13/2014 12:40:07 PM,41.814606884,-87.623629612,"(41.814606884, -87.623629612)"
21591,HX455471,10/06/2014 03:00:00 PM,053XX S TALMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0923,009,14,63,01A,1159660,1868824,2014,10/13/2014 12:40:07 PM,41.795766147,-87.690053758,"(41.795766147, -87.690053758)"
21586,HX454514,10/04/2014 03:35:00 AM,044XX W VAN BUREN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1131,011,24,26,01A,1146581,1897607,2014,10/11/2014 12:39:28 PM,41.875009249,-87.737283247,"(41.875009249, -87.737283247)"
21585,HX454255,10/03/2014 09:50:00 PM,106XX S YATES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA PARKING LOT,false,false,0434,004,10,51,01A,1194383,1834987,2014,10/10/2014 12:36:29 PM,41.702131113,-87.563834249,"(41.702131113, -87.563834249)"
