geoid,canopy_coverage,total_tract_area,percent_covered
17031210501,39459.7772929519,313077.464218515,0.1260383828
17031210601,41900.8286888522,273653.71013378,0.1531162456
17031700502,402868.769624154,1722969.08445574,0.2338224018
17031836100,158032.186486462,860472.075318835,0.1836575422
17031835700,10491.3945617589,190189.460479792,0.0551628599
17031836400,121980.670493298,1666110.20770643,0.0732128463
17031836500,84879.8906114538,940474.389055184,0.0902522085
17031839600,39341.6440346715,326898.417405983,0.1203482242
17031840000,33038.7758191358,591627.47353835,0.0558438837
17031835600,63918.1444623897,917536.948345361,0.0696627472
17031830800,50397.5831127601,336534.190197166,0.1497547191
17031460301,119574.952307856,485921.191857544,0.2460788999
17031301701,44395.274710071,330772.983451588,0.1342167496
17031310400,6983.7111191022,124462.682215698,0.056110884
17031530100,116430.016062568,649936.515572974,0.179140598
17031081100,8816.7787196485,102349.298429685,0.0861440074
17031150700,123524.806271742,662401.899789023,0.186480151
17031640100,22342.4470574679,325922.234652114,0.0685514662
17031081300,17750.9589267632,202658.993530547,0.0875902846
17031301702,54823.8876092068,330991.0512885,0.1656355584
17031700301,133535.243269025,1275710.8056299,0.1046751683
17031490902,203179.010276637,1196068.33040618,0.1698724104
17031490901,142364.999399338,845441.059219143,0.1683913951
17031650302,92788.0090210337,661844.154664392,0.14019616
17031831900,63805.81208514,324324.257066763,0.1967346281
17031830900,83761.6105012309,1037684.67609676,0.0807197142
17031830700,253524.717598971,868895.278568057,0.2917782198
17031830600,119752.178699533,661391.894821674,0.1810608501
17031700501,283564.647050898,1670355.09277455,0.1697630931
17031460302,182314.570406386,648525.938848012,0.2811214779
17031431302,90171.2649745465,437421.008328095,0.2061429681
17031431301,107218.389857312,404076.126370151,0.2653420553
17031440101,61329.4439601396,382675.440551742,0.1602649072
17031301803,55269.2041434134,351051.750412353,0.1574389077
17031310200,22868.3023603283,320481.770044514,0.0713560162
