"geoid10","resid","expression","callsXtree","covered"
"17031130300",-3.18651354848276,Inf,3.5368427312331e-05,0.307020303130756
"17031140100",-2.89412445670404,NA,0,0.217249253922471
"17031140200",-0.00913174250149537,Inf,0.000108620831988138,0.180648687598468
"17031140301",-0.241867363307145,Inf,6.64944261182963e-05,0.183258275861263
"17031140302",-1.7562260413172,Inf,4.54651749630956e-05,0.281045573986321
"17031140400",-1.47128706495295,Inf,7.55602124405009e-05,0.205191746293982
"17031140500",0.853361289782573,Inf,0.000123598462250543,0.182008935604609
"17031140601",1.31747474214488,Inf,0.000132761248260861,0.247036935022662
"17031140602",-2.9610094956574,Inf,1.30961933201243e-05,0.216499470668217
"17031140701",-2.10405839790564,NA,0,0.167111643278045
"17031140702",-1.33014821038011,Inf,5.90831483002851e-05,0.219215389495968
"17031140800",-2.44301534075801,Inf,5.85980685863335e-05,0.272315357234473
"17031150200",-1.79461485176605,Inf,7.57731149592998e-05,0.224363798334517
"17031150300",3.31617968260384,Inf,0.000184927003740826,0.224650287967751
"17031150401",1.96590021380318,Inf,0.000151852920715869,0.190227008292786
"17031150402",1.2653550325014,Inf,0.000127315551888543,0.181604241105007
"17031150501",5.75428416400576,Inf,0.000260115726182863,0.215068454900491
"17031150502",4.28160141933904,Inf,0.000224799160122263,0.218607666105711
"17031150600",0.0781391102083907,Inf,8.81442624373924e-05,0.274754702951919
"17031150700",7.70624705146684,Inf,0.000377534445728224,0.197030252677936
"17031150800",-0.0698032237419326,Inf,9.54775287094156e-05,0.170598858894781
"17031151001",6.31357398685097,Inf,0.000449222071511258,0.161808552181659
"17031151002",9.57755945883814,Inf,0.00060567470468743,0.153175751734843
"17031151100",4.63957470779463,Inf,0.000280429031344015,0.163207834701782
"17031151200",9.27240305205295,Inf,0.000587297552019285,0.122754451345728
"17031160100",-2.00135284071871,Inf,3.59947653889434e-05,0.325719502896027
"17031160200",1.65393173461715,Inf,0.000126869483435716,0.219901055790145
"17031160300",2.14361435506921,Inf,0.000163623250393688,0.255422644922661
"17031160400",-2.05093805044612,Inf,5.35876368306324e-05,0.286638697973297
"17031160501",-1.95002581808134,Inf,2.88875846984448e-05,0.213046202885292
"17031160502",2.40929725888256,Inf,0.000198117823196723,0.230980952850832
"17031160601",-1.8199328113594,Inf,3.02053364347032e-05,0.217373683740348
"17031160602",-0.662615427597433,Inf,6.53923834281492e-05,0.193655008735987
"17031160700",0.124310965510134,Inf,0.000105372415264229,0.199243905837836
"17031160800",2.17097258595933,Inf,0.00017062939376641,0.190607152485582
"17031160900",-0.867927458925956,Inf,5.95456217582256e-05,0.310823871363799
"17031161000",0.316400016554177,Inf,7.5976001339607e-05,0.279609599362937
"17031161100",-0.120357451886045,Inf,6.92451741216505e-05,0.321107049488569
"17031161200",0.673712680170052,Inf,0.000101615268408092,0.150197437296075
"17031161300",0.364463424846885,Inf,0.000101601873602016,0.176782655282075
"17031170100",-3.0176024942864,Inf,1.54261191762547e-05,0.133096310568848
"17031170200",12.773080876367,Inf,0.000610298474917075,0.202037738310714
"17031170300",-0.612443897655032,Inf,8.77991910652862e-05,0.214462039870027
"17031170400",1.85981163671554,Inf,0.000145956038179906,0.158475801838636
"17031170500",-3.42519931390824,Inf,4.15655805204815e-05,0.212760296801034
"17031170600",-0.15549177537773,Inf,7.47004456807631e-05,0.207999628083672
"17031170700",-1.77133954195797,Inf,3.44135660074494e-05,0.164520347539813
"17031170800",-0.831070643970967,Inf,6.58268031509485e-05,0.150001937480054
"17031170900",-0.339620450030017,Inf,5.50963240434205e-05,0.176279114957498
"17031171000",-0.693398054489011,Inf,9.71346509350046e-05,0.198758458598171
"17031171100",1.70598562547949,Inf,0.000151749955114744,0.151325407102593
"17031180100",0.0653392083009333,Inf,0.000101902472134345,0.183679144596422
"17031190100",2.65784283242847,Inf,0.000234541336571992,0.179545201434928
"17031190200",5.34325642733708,Inf,0.000328310407474937,0.151223731884116
"17031190300",2.74961925668018,Inf,0.000205937251331659,0.14543992631676
"17031190401",1.10772028176981,Inf,0.000136162510211295,0.118244043862007
"17031190402",4.1198845828092,Inf,0.0002528063586865,0.158446073082372
"17031190601",-0.0477333049254705,Inf,8.92686678337893e-05,0.180853331257152
"17031190602",5.21973373113559,Inf,0.000313673511465862,0.161489363963791
"17031190701",2.36332452364999,Inf,0.000242853521056721,0.104275165783424
"17031190702",1.93388974966994,Inf,0.000177633758597724,0.159714453827954
"17031190800",3.85928217531466,Inf,0.000267394842852947,0.139615059196281
"17031190900",1.48653140662741,Inf,0.000142862508257564,0.149458414201565
"17031191000",1.50736551412019,Inf,0.00015060830899943,0.112379351910738
"17031191100",-3.09415116476536,Inf,3.15488966505153e-05,0.165107863182185
"17031191200",-0.236406718484418,Inf,7.22738726693727e-05,0.162353540081549
"17031191301",0.181350216906937,Inf,0.000107498205926439,0.157373913083558
"17031191302",1.90233876048385,Inf,0.000164989242592399,0.130246318391689
"17031200100",1.07185157002234,Inf,0.000133805895845459,0.134222413008854
"17031200200",3.4961461652102,Inf,0.00023932143442859,0.172809594392956
"17031200300",-0.765110173628753,Inf,3.57629708771394e-05,0.143661239689664
"17031200401",1.55906827185219,Inf,0.000153135120464503,0.180093436422273
"17031200402",0.0264906836974576,Inf,8.96807796848638e-05,0.125151539096165
"17031210100",-0.80306316286183,Inf,6.35915776292811e-05,0.11895713403655
"17031210400",0.0295959062840883,Inf,8.45753380056837e-05,0.126798139870411
"17031210501",-0.784047993979877,Inf,5.55901509915589e-05,0.137699412723844
"17031210502",2.14731274548915,Inf,0.000217839204749569,0.127537675419133
"17031210601",-0.882597526069582,Inf,4.8556763863096e-05,0.156937872110616
"17031210602",-0.247760047763474,Inf,8.07093273833528e-05,0.110026418466842
"17031210700",2.03910906900879,Inf,0.000182784608779325,0.173258321664825
"17031210800",0.807995437158415,Inf,0.000110786594945541,0.162875108839741
"17031210900",-1.38636704849763,Inf,2.74446744927319e-05,0.109222558164405
"17031220300",-1.73209361600576,Inf,1.97364449268872e-05,0.206209973440043
"17031220400",-0.0826204832134406,Inf,7.59680063721522e-05,0.17204120804686
"17031220500",0.634822137504921,Inf,0.00011093290225553,0.162519093890528
"17031220601",-0.857219888713465,Inf,2.98824841840794e-05,0.186562732248845
"17031220602",-1.3562420350642,Inf,5.32252102130083e-05,0.167065848760919
"17031220701",1.41590930876634,Inf,0.000163735686393413,0.151457677094897
"17031220702",1.30729902880508,Inf,0.000148937854392611,0.158828365404325
"17031220901",-2.30562604480219,NA,0,0.129569323080712
"17031220902",-0.985894660350395,Inf,4.31449213107115e-05,0.156067148930002
"17031221000",-0.956706612260149,Inf,3.54265847684006e-05,0.13238506576627
"17031221100",-1.50595937662244,Inf,5.03809965802368e-05,0.183848055622792
"17031221200",-0.343655646450538,Inf,6.30601741992118e-05,0.193796970570918
"17031221300",-1.58967178352884,Inf,2.25646824386706e-05,0.161711850969611
"17031221400",-1.36868190346565,Inf,2.70673573557026e-05,0.114597864854131
"17031221500",0.71205168452062,Inf,0.00011301471626329,0.206669841715035
"17031221600",0.859505225991104,Inf,0.000120043960814302,0.178909789608318
"17031222200",-0.383636233575574,Inf,5.52515019836569e-05,0.162313659988104
"17031222500",1.05807721933606,Inf,0.000124602592270048,0.178745025140625
"17031222600",1.57395840710414,Inf,0.000150056954657306,0.220719760725331
"17031222700",-0.721699526258936,Inf,4.62592558326333e-05,0.212734408320334
"17031222800",0.0337304442714069,Inf,5.57109750473766e-05,0.17524997899658
"17031222900",-1.44239790563647,NA,0,0.158196692849137
"17031230100",0.804607369133877,Inf,0.000107081591707815,0.197943429651707
"17031230200",1.32843054871302,Inf,0.000135415251867475,0.157210351267492
"17031230300",-1.46108055373677,NA,0,0.185356263709147
"17031230400",0.214625084494985,Inf,8.5520168151329e-05,0.129526808710513
"17031230500",3.4761014621693,Inf,0.000289024154982815,0.149692235524701
"17031230600",-0.186454171478296,Inf,9.97646249126827e-05,0.117250488996511
"17031230700",-0.723727591680208,Inf,7.41899999475016e-05,0.159027657116952
"17031230800",-1.3697593703902,NA,0,0.141901599086716
"17031230900",-2.11507879472392,Inf,2.00370008171627e-05,0.116767379284612
"17031231100",1.51905043004911,Inf,0.000142454162820135,0.231453662547229
"17031231200",-0.401319527433756,Inf,8.89420534193686e-05,0.235967102223109
"17031231500",-1.908781701147,Inf,5.9204236144489e-05,0.24988770060192
"17031240200",-1.75737699249439,NA,0,0.161124683199422
"17031240300",1.96515461914807,Inf,0.000174681193423513,0.186489735650247
"17031240500",-0.219868002848448,Inf,6.5632651014851e-05,0.142653225112286
"17031240600",-0.0811309960186749,Inf,5.44129456625249e-05,0.1319570199969
"17031240700",-0.287563171463499,Inf,5.13927474148172e-05,0.151450746426414
"17031240800",1.69409239585436,Inf,0.000176333947037471,0.152962414023299
"17031240900",-1.44680486451542,NA,0,0.142242528879712
"17031241000",-1.7726288396289,NA,0,0.109510515044779
"17031241100",1.12736314721595,Inf,0.000142862672937065,0.163115625973851
"17031241200",-0.972476211237484,Inf,3.17233729789857e-05,0.15464585556684
"17031241300",1.32516753006134,Inf,0.000130207523406906,0.300221264325756
"17031241400",-0.856939643358642,Inf,7.0655884055799e-05,0.179686201964011
"17031241500",-0.509580406962927,Inf,5.21480942869058e-05,0.07610953393271
"17031241600",-1.49852435799732,NA,0,0.0498896232732447
"17031242000",-2.24038034407315,NA,0,0.0827280378943579
"17031242100",-0.488162700158075,Inf,6.34122505633187e-05,0.11373022702807
"17031242200",-2.10809206604002,Inf,1.94088584145651e-05,0.169752502702797
"17031242300",-1.10501192669532,Inf,5.07168196189578e-05,0.191017627161628
"17031242400",0.134790721035774,Inf,9.19771454621083e-05,0.127482204355475
"17031242500",-2.27927257816247,NA,0,0.105292549452377
"17031242600",-0.387433507161626,Inf,8.63355137316005e-05,0.121732915197176
"17031242700",1.19616536513912,Inf,0.000142412198231627,0.143337864236339
"17031242800",-0.457363831035936,Inf,4.38938476737143e-05,0.117338644154786
"17031242900",-0.0175893069313642,Inf,7.15929474156979e-05,0.127024889443609
"17031243000",0.760697286692918,Inf,0.000121410698400743,0.0971452525197129
"17031243100",-0.823340649333699,Inf,3.77703865565301e-05,0.113659450200639
"17031243200",-0.797058919479037,Inf,3.62466947649833e-05,0.118234506065727
"17031243300",0.307076487690019,Inf,9.61095366522946e-05,0.0926268847005932
"17031243400",2.3992478256812,Inf,0.00028152478475607,0.0779240323160105
"17031243500",-1.87651562598084,NA,0,0.0639718625444534
"17031250200",0.0473121543093776,Inf,7.55128000661825e-05,0.197512948781754
"17031250300",-0.81329491003646,Inf,7.34244327367596e-05,0.23773865231786
"17031250400",7.68508601249097,Inf,0.000335739711319468,0.201895173756285
"17031250500",5.78276486279791,Inf,0.00022060869258192,0.250535068284461
"17031250600",4.77736985177902,Inf,0.000278534401418946,0.165040642297975
"17031250700",5.22613715166813,Inf,0.000294588059986436,0.171968035179195
"17031250800",1.28666410010488,Inf,0.000121590416349952,0.190618302732563
"17031251000",1.20325148378415,Inf,0.000126659763295301,0.187925034547015
"17031251100",1.43488026838452,Inf,0.000142934482009289,0.192186209827615
"17031251200",4.09668367474241,Inf,0.000193032790897463,0.291123141146102
"17031251300",2.7999008890045,Inf,0.000171469717000835,0.233575513589844
"17031251400",1.7134895904935,Inf,0.000135134725379728,0.255437675411178
"17031251500",0.903875524944797,Inf,0.000107312704633103,0.303875544676226
