geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031490300,2325,455,892,51,525,184,982,160,2325,2195,2325,21,2325,0,2315,2054,892,682
14000US17031490400,949,70,381,33,219,71,495,69,949,927,949,0,949,0,944,874,381,312
14000US17031490500,2237,158,787,50,606,263,1191,278,2508,2405,2508,118,2508,17,2508,2131,787,581
14000US17031490600,1350,178,569,34,413,219,637,170,1350,1325,1350,1,1350,8,1350,1230,569,465
14000US17031490700,2873,776,929,34,693,367,1211,330,2893,2799,2893,0,2893,0,2884,2692,929,682
14000US17031490800,3669,764,1401,49,870,528,1513,271,3685,3467,3685,20,3685,20,3672,3503,1401,980
14000US17031490901,3950,1224,1535,144,810,400,1791,416,3950,3824,3950,3,3950,7,3892,2985,1535,323
14000US17031490902,5345,755,1912,71,1246,542,2496,478,5345,5278,5345,0,5345,0,5313,4621,1912,1182
14000US17031491000,5105,2303,1317,174,1057,661,1646,699,5105,5066,5105,45,5105,43,4996,4539,1317,680
14000US17031491100,4486,843,1492,30,1091,396,1642,288,4728,4605,4728,84,4728,30,4691,4182,1492,1158
14000US17031491200,2742,617,797,29,610,258,1097,364,2742,2725,2742,21,2742,0,2739,2156,797,504
14000US17031491300,2400,766,757,91,509,205,1135,369,2415,2344,2415,37,2415,0,2331,2075,757,313
14000US17031491400,2575,1027,1101,71,453,218,919,102,2678,2631,2678,0,2678,0,2643,2137,1101,287
14000US17031500100,3312,651,1405,90,830,590,1672,332,3312,3263,3312,68,3312,22,3302,2971,1405,747
14000US17031500200,2098,896,749,59,508,314,843,306,2098,1967,2098,79,2098,5,1999,1651,749,312
14000US17031500300,1512,205,761,54,347,122,921,199,1524,487,1524,528,1524,11,1512,1372,761,365
14000US17031510100,3489,866,967,7,723,178,1382,120,3489,181,3489,3023,3489,47,3482,3235,967,682
14000US17031510200,2872,751,1052,18,742,393,1385,264,2872,2325,2872,418,2872,0,2861,2306,1052,691
14000US17031510300,5967,1884,2004,54,1396,626,2453,613,5977,5704,5977,80,5977,0,5877,4973,2004,1189
14000US17031520100,2054,824,584,7,418,72,859,151,2061,132,2061,1721,2061,87,2021,1834,584,329
14000US17031520200,3585,1446,1016,40,668,328,1381,224,3607,428,3607,2746,3607,7,3542,2555,1016,395
14000US17031520300,6751,1921,1747,93,1378,347,2861,419,6751,44,6751,6021,6751,55,6600,6127,1747,1166
14000US17031520400,3857,634,1197,53,969,299,1865,382,3857,186,3857,3138,3857,33,3800,3646,1197,851
14000US17031520500,4377,498,1404,0,1085,257,2325,314,4377,28,4377,2785,4377,70,4325,3858,1404,1135
14000US17031520600,2873,221,829,14,699,158,1316,270,2873,0,2873,2166,2873,70,2873,2862,829,794
14000US17031530100,2458,909,763,106,483,164,1060,215,2502,1338,2502,1036,2502,55,2478,1916,763,293
14000US17031530200,5736,2788,1428,181,1078,691,2055,565,5736,5710,5736,0,5736,0,5677,4445,1428,594
14000US17031530300,4139,831,1385,20,1004,492,1739,330,4165,4066,4165,0,4165,0,4074,3588,1385,1062
14000US17031530400,2034,490,691,59,553,292,946,198,2034,1994,2034,21,2034,0,2012,1829,691,489
14000US17031530501,5264,2329,1684,171,1033,606,1746,484,5297,5114,5297,21,5297,14,5210,3990,1684,857
14000US17031530502,1428,239,480,5,407,161,583,152,1428,1417,1428,0,1428,0,1408,1334,480,385
14000US17031530503,5483,1557,1761,56,1174,497,2352,497,5639,5495,5639,58,5639,19,5606,5100,1761,1475
14000US17031530600,2995,1257,1086,54,716,379,1298,328,2995,2884,2995,88,2995,0,2963,2439,1086,510
14000US17031540101,3554,2380,1136,31,884,618,1147,451,3562,3363,3562,221,3562,0,3560,2750,1136,107
14000US17031540102,3350,1929,1157,138,806,662,1193,521,3444,3348,3444,87,3444,0,3389,3013,1157,154
14000US17031550100,7113,1270,2547,117,1842,479,3252,347,7126,718,7126,3601,7126,50,7114,5774,2547,1708
14000US17031550200,2696,354,1054,4,656,165,1206,88,2696,30,2696,1458,2696,40,2696,2603,1054,979
14000US17031560100,1024,199,311,23,220,68,478,86,1160,91,1160,621,1160,4,1160,1056,311,199
14000US17031560200,1797,229,564,26,437,165,874,180,1797,1412,1797,181,1797,0,1797,1582,564,436
14000US17031560300,3194,224,909,29,765,147,1531,160,3197,389,3197,1829,3197,30,3159,3035,909,862
14000US17031560400,1356,232,378,0,308,24,638,89,1356,0,1356,874,1356,0,1347,1238,378,371
14000US17031560700,3514,459,1169,94,778,125,1841,223,3541,5,3541,1784,3541,50,3460,3059,1169,790
14000US17031560800,5891,225,2141,59,1503,240,3430,416,5893,57,5893,2553,5893,40,5821,5247,2141,1650
14000US17031560900,5282,280,1868,39,1363,149,2974,376,5289,20,5289,1537,5289,26,5289,4938,1868,1625
14000US17031561000,4898,477,1996,31,1349,277,2659,395,4898,0,4898,1805,4898,75,4882,4439,1996,1609
14000US17031561100,5809,171,1947,44,1514,206,2984,294,5809,0,5809,2197,5809,9,5794,5423,1947,1740
14000US17031570100,1335,166,395,35,310,15,827,150,1335,0,1335,990,1335,3,1306,1133,395,263
14000US17031570200,1943,109,575,19,450,119,958,116,1943,19,1943,1440,1943,23,1915,1750,575,448
14000US17031570300,6429,1160,1612,199,1426,345,2948,461,6429,0,6429,4938,6429,90,6309,5606,1612,966
14000US17031570400,1743,263,502,40,380,85,866,117,1812,14,1812,1550,1812,9,1779,1638,502,207
14000US17031570500,2613,461,723,56,622,123,1411,323,2613,193,2613,1806,2613,29,2568,2288,723,398
14000US17031580100,3145,993,852,45,653,72,1473,175,3176,15,3176,2227,3176,56,3138,2802,852,521
14000US17031580200,3022,967,853,83,701,212,1533,247,3088,53,3088,2612,3088,2,3062,2296,853,345
14000US17031580300,2202,347,594,9,471,62,1058,141,2202,0,2202,1839,2202,26,2171,1999,594,327
14000US17031580400,3862,960,1281,56,943,172,1831,409,3894,105,3894,3018,3894,61,3848,3397,1281,575
14000US17031580501,4944,1120,1386,107,1090,195,2737,278,4992,85,4992,4020,4992,85,4952,3766,1386,617
14000US17031580502,4853,1148,1288,90,1031,330,2481,447,4935,210,4935,3733,4935,22,4775,4477,1288,716
14000US17031580600,5879,1463,1508,155,1277,296,2616,269,5894,242,5894,5060,5894,39,5750,5209,1508,556
14000US17031580700,6215,1810,1569,227,1297,217,2729,439,6247,33,6247,5537,6247,77,6172,5941,1569,829
14000US17031580800,1600,487,480,33,384,46,661,102,1600,20,1600,1513,1600,8,1539,1362,480,138
14000US17031590500,1877,412,628,9,421,75,961,144,1877,24,1877,1109,1877,52,1858,1494,628,390
14000US17031590600,4010,468,1183,102,945,163,1877,265,4010,37,4010,2560,4010,34,3957,3707,1183,582
14000US17031590700,3210,637,985,43,743,169,1592,158,3210,205,3210,2212,3210,44,3137,2736,985,402
14000US17031600400,4597,864,1525,104,1036,179,2782,333,4597,17,4597,662,4597,110,4532,3808,1525,640
14000US17031600600,2485,802,910,55,591,146,1457,206,2485,0,2485,731,2485,13,2474,2061,910,418
14000US17031600700,2408,296,944,73,554,116,1399,246,2408,129,2408,916,2408,0,2396,2095,944,364
14000US17031600900,3441,716,1414,60,753,170,2007,245,3497,422,3497,939,3497,38,3415,2805,1414,441
14000US17031610300,5488,1929,1461,138,1163,370,2691,453,5520,265,5520,4645,5520,109,5459,4767,1461,481
14000US17031610400,1594,509,478,76,279,75,755,108,1594,54,1594,1493,1594,15,1582,1247,478,93
14000US17031610800,1562,265,527,32,370,62,845,160,1562,19,1562,185,1562,0,1499,1365,527,361
14000US17031611000,1121,740,282,81,193,70,360,129,1152,704,1152,392,1152,19,1130,879,282,98
